institution,label,institution_state,statefips
00450800,University of Colorado Denver,CO,08
00450900,University of Colorado Colorado Springs,CO,08
00451300,Housatonic Community College,CT,09
00454900,Leeward Community College,HI,15
00457900,International Business College,IN,18
00457901,International Business College - Indianapolis Campus,IN,18
00458700,Northeast Iowa Community College,IA,19
00459500,Hawkeye Community College,IA,19
00459800,Iowa Western Community College,IA,19
00460000,Northwest Iowa Community College,IA,19
00462500,Delgado Community College,LA,22
00471100,State Technical College of Missouri,MO,29
00471300,Three Rivers College,MO,29
00475900,CUNY York College,NY,36
00476500,CUNY Graduate School & University Center,NY,36
00478800,Herkimer County Community College - SUNY Office of Community Colleges,NY,36
00485200,Clark State College,OH,39
00487800,Clackamas Community College,OR,41
00492000,Trident Technical College,SC,45
00492500,Horry Georgetown Technical College,SC,45
00492600,Tri-County Technical College,SC,45
00492700,University of South Carolina - Union,SC,45
00494800,Texas A&M University System Health Science Center,TX,48
00495100,University of Texas Health Science Center at Houston,TX,48
00495200,University of Texas Medical Branch at Galveston,TX,48
00497200,Galveston College,TX,48
00498800,Central Virginia Community College,VA,51
00499600,Dabney S Lancaster Community College,VA,51
00501500,University of Wisconsin - Parkside,WI,55
00522000,Salt Lake Community College,UT,49
00522300,New River Community College,VA,51
00525200,Ridgewater College,MN,27
00525800,Hawaii Community College,HI,15
00526300,Minnesota West Community and Technical College,MN,27
00527600,Central Maine Community College,ME,23
00527700,Eastern Maine Community College,ME,23
00530900,Lake Area Technical College,SD,46
00531300,North Central State College,OH,39
00536300,Denmark Technical College,SC,45
00546700,SOWELA Technical Community College,LA,22
00548800,Capital Area Technical College,LA,22
00548900,Central Louisiana Technical Community College,LA,22
00552500,Southern Maine Community College,ME,23
00552600,South Central Louisiana Technical College,LA,22
00553300,Saint Paul College - A Community & Technical College,MN,27
00553400,St. Cloud Technical and Community College,MN,27
00553500,Pine Technical and Community College,MN,27
00553700,South Central College,MN,27
00554100,Minnesota State Community and Technical College,MN,27
00554400,Alexandria Technical and Community College,MN,27
00554900,Springfield Technical Community College,MA,25
00559600,Emily Griffith Technical College,CO,08
00575300,Owens Community College,OH,39
00575700,Lake Superior College,MN,27
00575900,Northwest Technical College - Bemidji,MN,27
00576000,Northern Maine Community College,ME,23
00576100,L. E. Fletcher Technical Community College,LA,22
00638510,Chamberlain University - Indianapolis,IN,18
00662200,Jefferson College of Health Sciences,VA,51
00666100,Angelina College,TX,48
00675600,Northshore Technical Community College,LA,22
00676000,University of Maine - Augusta,ME,23
00677500,Rainy River Community College,MN,27
00677700,Flathead Valley Community College,MT,30
00678200,Genesee Community College,NY,36
00678500,Schenectady County Community College,NY,36
00678700,Clinton Community College,NY,36
00678800,Tompkins Cortland Community College,NY,36
00678900,SUNY Columbia-Greene Community College,NY,36
00679100,SUNY College at Purchase,NY,36
00680400,Lakeland Community College,OH,39
00681500,Orangeburg Calhoun Technical College,SC,45
00681900,Blue Ridge Community College,VA,51
00686700,Columbus State Community College- Main Campus,OH,39
00687100,Thomas Nelson Community College,VA,51
00693800,Linn-Benton Community College,OR,41
00695100,University of South Carolina Upstate,SC,45
00698100,Gateway Community College,CT,09
00698200,Naugatuck Valley Community College,CT,09
00702200,CUNY Lehman College,NY,36
00709600,College of the Mainland,TX,48
00709900,Virginia Highlands Community College,VA,51
00710900,SUNY College at Old Westbury,NY,36
00711100,North Country Community College,NY,36
00712000,Des Moines Area Community College,IA,19
00726000,Southwest Virginia Community College,VA,51
00726300,Holy Cross College,IN,18
00727300,CUNY Bernard M. Baruch College,NY,36
00727500,Eastern Gateway Community College,OH,39
00728700,Brazosport College,TX,48
00728900,Central Wyoming College,WY,56
00731600,Western Iowa Tech Community College,IA,19
00735000,Anoka Technical College,MN,27
00753200,Finger Lakes Community College - SUNY Office of Community Colleges,NY,36
00757000,Helena College University of Montana,MT,30
00758200,Aims Community College,CO,08
00759800,Hocking Technical College,OH,39
00760200,Northeastern Technical College,SC,45
00763500,Capital Community College,CT,09
00768600,Southern University at Shreveport - Bossier City,LA,22
00776400,Southeast Technical College,SD,46
00793300,Front Range Community College-Westminster Campus,CO,08
00793800,Lincoln College of Technology,IN,18
00795400,Normandale Community College,MN,27
00803800,Middlesex Community College,CT,09
00806700,Louisiana State University Health Sciences Center in Shreveport,LA,22
00808000,State Fair Community College,MO,29
00813300,Zane State College,OH,39
00827800,Terra State Community College,OH,39
00828400,Mitchell Technical College,SD,46
00840300,Indian Hills Community College,IA,19
00842300,Ivy Tech Community College of Indiana - Region 2,IN,18
00850300,Mountain View College,TX,48
00850400,Richland College,TX,48
00851000,Eastfield College,TX,48
00854700,Ivy Tech Community College of Indiana - Region 7,IN,18
00861100,"CUNY, Hostos Community College",NY,36
00865900,Lord Fairfax Community College,VA,51
00866000,Germanna Community College,VA,51
00866100,Southside Virginia Community College,VA,51
00867700,Northwest State Community College,OH,39
00886200,East Central College,MO,29
00889600,Pikes Peak Community College,CO,08
00897600,Clayton State University,GA,13
00905800,Bethel University,MN,27
00905803,Bethel University - Bethel Seminary Saint Paul,MN,27
00915900,Paul D. Camp Community College,VA,51
00916000,Rappahannock Community College,VA,51
00916300,San Antonio College,TX,48
00922600,Francis Marion University,SC,45
00923100,Washington County Community College,ME,23
00925900,Laramie County Community College,WY,56
00931400,Great Falls College Montana State University,MT,30
00932200,Williamsburg Technical College,SC,45
00950700,Georgia Highlands College,GA,13
00954200,Community College of Denver,CO,08
00954300,Red Rocks Community College,CO,08
00954900,Western Texas College,TX,48
00962900,Mountain Empire Community College,VA,51
00964700,Oklahoma State University - Oklahoma City,OK,40
00965100,Texas A&M International University,TX,48
00974000,Inver Hills Community College,MN,27
00974100,University of Texas at Dallas,TX,48
00976300,Tulsa Community College,OK,40
00976400,Tunxis Community College,CT,09
00976500,Three Rivers Community College,CT,09
00976800,University of North Texas Health Science Center at Fort Worth,TX,48
00979700,Midland College,TX,48
00982600,Kennebec Valley Community College,ME,23
00991000,Technical College of the Lowcountry - Beaufort Campus,SC,45
00991700,Ivy Tech Community College of Indiana,IN,18
00992300,Ivy Tech Community College of Indiana - Region 11,IN,18
00992400,Ivy Tech Community College of Indiana - Region 6,IN,18
00992500,Ivy Tech Community College of Indiana - Region 12,IN,18
00992600,Ivy Tech Community College of Indiana- Region 3,IN,18
00992800,Piedmont Virginia Community College,VA,51
00992900,SUNY College of Optometry,NY,36
00993000,University of Texas of the Permian Basin,TX,48
00993600,Middlesex Community College,MA,25
00994100,Belmont College,OH,39
00994200,Shawnee State University,OH,39
00997500,Northwest Louisiana Technical Community College,LA,22
00998100,Morgan Community College,CO,08
01001900,University of Texas Southwestern Medical Center (The),TX,48
01002700,James A. Rhodes State College,OH,39
01003700,Ivy Tech Community College of Indiana - Region 9,IN,18
01003800,Ivy Tech Community College of Indiana - Region 10,IN,18
01003900,Ivy Tech Community College of Indiana - Region 4,IN,18
01004000,Ivy Tech Community College of Indiana - Region 1,IN,18
01004100,Ivy Tech Community College of Indiana - Region 5,IN,18
01005100,CUNY LaGuardia Community College,NY,36
01005600,Aiken Technical College,SC,45
01006000,Vernon College,TX,48
01009700,CUNY Medgar Evers College,NY,36
01010900,Ivy Tech Community College of Indiana - Region 13,IN,18
01011500,University of Texas at San Antonio,TX,48
01017000,Western Dakota Technical College,SD,46
01018200,Rogue Community College,OR,41
01028600,SUNY Empire State College,NY,36
01029800,Texas A & M University at Galveston,TX,48
01033800,Eastern Virginia Medical School,VA,51
01034500,Cincinnati State Technical & Community College,OH,39
01037400,Metropolitan State University,MN,27
01038700,El Paso County Community College District,TX,48
01039100,Oklahoma City Community College,OK,40
01040200,Dakota County Technical College,MN,27
01045300,Washington State Community College,OH,39
01049100,Hennepin Technical College -,MN,27
