institution code,institution name,State
284400,SUNY at Fredonia,New York
284500,SUNY College at Geneseo,New York
284600,State University of New York at New Paltz,New York
284700,SUNY Oneonta,New York
284800,State University of New York at Oswego,New York
284900,SUNY College at Plattsburgh,New York
285000,SUNY College at Potsdam,New York
285100,SUNY College of Environmental Science and Forestry,New York
285300,SUNY Maritime College,New York
285400,SUNY College of Technology at Alfred,New York
285500,SUNY College of Technology at Canton,New York
285600,SUNY College of Agriculture and Technology at Cobleskill,New York
285700,SUNY College of Technology at Delhi,New York
285800,Farmingdale State College,New York
285900,SUNY Morrisville,New York
286000,SUNY Adirondack,New York
286100,Cayuga County Community College,New York
286200,SUNY Broome Community College,New York
286300,SUNY Corning Community College,New York
286400,Dutchess Community College,New York
286600,Fashion Institute of Technology,New York
286700,Fulton-Montgomery Community College,New York
286800,Hudson Valley Community College,New York
286900,Jamestown Community College,New York
287000,Jefferson Community College,New York
287100,Mohawk Valley Community College,New York
287200,Monroe Community College,New York
287300,Nassau Community College,New York
287400,Niagara County Community College,New York
287500,Onondaga Community College,New York
287600,Orange County Community College,New York
287700,Rockland Community College,New York
287800,Suffolk County Community College,New York
287900,Sullivan County Community College,New York
288000,Ulster County Community College,New York
288100,SUNY Westchester Community College,New York
301800,Bowling Green State University-Main Campus,Ohio
302600,Central State University,Ohio
303200,Cleveland State University,Ohio
304000,Cuyahoga Community College District,Ohio
304600,Franklin University,Ohio
305100,Kent State University at Kent,Ohio
306800,Lorain County Community College,Ohio
307700,Miami University-Oxford,Ohio
307800,Wright State University-Main Campus,Ohio
309000,Ohio State University-Main Campus,Ohio
310000,Ohio University-Main Campus,Ohio
311600,University of Rio Grande,Ohio
311900,Sinclair Community College,Ohio
312300,University of Akron Main Campus,Ohio
312500,University of Cincinnati-Main Campus,Ohio
313100,University of Toledo,Ohio
314500,Youngstown State University,Ohio
314600,Western Oklahoma State College,Oklahoma
315000,Cameron University,Oklahoma
315200,University of Central Oklahoma,Oklahoma
315300,Connors State College,Oklahoma
315400,East Central University,Oklahoma
315500,Eastern Oklahoma State College,Oklahoma
315600,Redlands Community College,Oklahoma
315700,Langston University,Oklahoma
315800,Murray State College,Oklahoma
316000,Northeastern Oklahoma A&M College,Oklahoma
316100,Northeastern State University,Oklahoma
316200,Northern Oklahoma College,Oklahoma
316300,Northwestern Oklahoma State University,Oklahoma
316700,University of Science and Arts of Oklahoma,Oklahoma
316800,Rogers State University,Oklahoma
317000,Oklahoma State University-Main Campus,Oklahoma
317200,Oklahoma State University Institute of Technology,Oklahoma
317400,Oklahoma Panhandle State University,Oklahoma
317600,Carl Albert State College,Oklahoma
317800,Seminole State College,Oklahoma
317900,Southeastern Oklahoma State University,Oklahoma
318100,Southwestern Oklahoma State University,Oklahoma
318400,University of Oklahoma-Norman Campus,Oklahoma
318401,University of Oklahoma-Health Sciences Center,Oklahoma
318600,Blue Mountain Community College,Oregon
318800,Central Oregon Community College,Oregon
318900,Clatsop Community College,Oregon
319300,Eastern Oregon University,Oregon
319600,Lane Community College,Oregon
320400,Mt Hood Community College,Oregon
320900,Western Oregon University,Oregon
321000,Oregon State University,Oregon
321100,Oregon Institute of Technology,Oregon
321300,Portland Community College,Oregon
321600,Portland State University,Oregon
321800,Chemeketa Community College,Oregon
321900,Southern Oregon University,Oregon
322000,Southwestern Oregon Community College,Oregon
322100,Treasure Valley Community College,Oregon
